horario_inicial,carros,motos,onibus,caminhoes,total_motorizados,mulheres_ciclistas,homens_ciclistas,total_ciclistas,mulheres_pedestres,homens_pedestres,total_pedestres,pedestres_com_cachorro,pedestres_sem_cachorro
"06:00",51,48,1,0,100,0,29,29,92,94,186,6,180
"06:15",595,203,20,10,828,0,347,347,151,183,334,5,329
"06:30",587,356,13,8,964,9,77,86,157,162,319,3,316
"06:45",1079,471,18,16,1584,12,68,80,159,162,321,3,318
"07:00",1246,509,19,22,1796,6,74,80,152,163,315,1,314
"07:15",1015,450,15,10,1490,5,52,57,152,162,314,6,308
"07:30",1036,450,10,12,1508,4,66,70,145,158,303,4,299
"07:45",1257,631,7,13,1908,3,46,49,105,142,247,4,243
"08:00",1386,500,8,11,1905,3,46,49,85,122,207,4,203
"08:15",1000,421,8,18,1447,3,40,43,88,133,221,3,218
"08:30",1118,403,11,23,1555,4,38,42,73,110,183,0,183
"08:45",1103,364,7,12,1486,5,35,40,49,76,125,1,124
"09:00",1046,421,9,21,1497,2,31,33,57,89,146,0,146
"09:15",693,315,9,15,1032,1,24,25,30,73,103,1,102
"09:30",885,429,6,21,1341,1,30,31,38,91,129,0,129
"09:45",959,378,27,13,1377,2,33,35,41,69,110,1,109
"10:00",984,399,9,30,1422,3,24,27,36,64,100,0,100
"10:15",894,380,11,24,1309,0,15,15,27,53,80,0,80
"10:30",803,381,4,32,1220,1,22,23,30,69,99,0,99
"10:45",894,425,13,35,1367,1,21,22,41,66,107,0,107
"11:00",1000,535,8,25,1568,0,48,48,49,115,164,0,164
"11:15",1009,482,18,42,1551,0,23,23,26,49,75,0,75
"11:30",972,547,19,25,1563,0,21,21,62,71,133,0,133
"11:45",1133,522,19,28,1702,0,25,25,42,72,114,0,114
"12:00",1022,498,5,12,1537,0,29,29,36,75,111,0,111
"12:15",1008,464,8,8,1488,0,24,24,24,72,96,0,96
"12:30",1107,416,7,12,1542,0,24,24,25,70,95,0,95
"12:45",1137,486,7,9,1639,0,37,37,47,59,106,0,106
"13:00",1128,489,5,10,1632,1,28,29,37,81,118,0,118
"13:15",1049,473,5,16,1543,0,31,31,68,93,161,0,161
"13:30",1010,424,4,18,1456,0,23,23,45,68,113,1,112
"13:45",1166,498,0,7,1671,0,29,29,27,62,89,0,89
"14:00",1257,552,4,26,1839,0,27,27,32,72,104,0,104
"14:15",1217,414,6,17,1654,0,11,11,49,69,118,0,118
"14:30",1040,438,5,20,1503,1,19,20,46,60,106,0,106
"14:45",1077,467,6,19,1569,0,26,26,48,73,121,2,119
"15:00",1026,425,7,7,1465,3,25,28,47,74,121,0,121
"15:15",994,443,10,20,1467,2,30,32,55,68,123,1,122
"15:30",1056,494,7,20,1577,3,26,29,53,100,153,0,153
"15:45",1018,448,10,17,1493,4,26,30,90,121,211,0,211
"16:00",1059,510,6,18,1593,5,43,48,108,199,307,0,307
"16:15",1151,445,7,17,1620,13,62,75,114,191,305,0,305
"16:30",949,467,5,25,1446,8,66,74,122,176,298,0,298
"16:45",1052,511,7,14,1584,15,103,118,184,240,424,0,424
"17:00",1083,561,14,13,1671,10,83,93,224,332,556,0,556
"17:15",1262,509,15,13,1799,15,92,107,201,347,548,5,543
"17:30",1263,475,13,17,1768,13,77,90,218,399,617,4,613
"17:45",1103,463,36,18,1620,10,71,81,182,371,553,5,548
"18:00",878,580,27,6,1491,2,56,58,196,326,522,0,522
"18:15",870,441,35,17,1363,8,42,50,203,338,541,0,541
"18:30",841,328,18,10,1197,3,46,49,160,311,471,0,471
"18:45",721,399,7,9,1136,2,38,40,177,333,510,1,509
"19:00",668,375,8,7,1058,1,53,54,155,305,460,0,460
"19:15",563,274,1,7,845,1,52,53,119,243,362,0,362
"19:30",526,211,5,3,745,1,46,47,113,228,341,0,341
"19:45",472,236,3,1,712,5,43,48,71,195,266,0,266
"20:00",510,266,2,2,780,4,54,58,45,143,188,1,187
"20:15",406,179,1,3,589,1,14,15,37,120,157,1,156
"20:30",391,184,1,4,580,2,12,14,43,96,139,0,139
"20:45",440,178,0,4,622,11,96,107,35,90,125,0,125