horario_inicial,total_motorizados,total_ciclistas,total_pedestres
06,316.0,49.2727272727,105.454545455
07,558.5,21.3333333333,98.25
08,532.75,14.5,61.3333333333
09,437.25,10.3333333333,40.6666666667
10,443.166666667,7.25,32.1666666667
11,532.0,9.75,40.5
12,517.166666667,9.5,34.0
13,525.166666667,9.33333333333,40.0833333333
14,547.083333333,7.0,37.4166666667
15,500.166666667,9.91666666667,50.6666666667
16,520.25,26.25,111.166666667
17,571.5,30.9166666667,189.5
18,432.25,16.4166666667,170.333333333
19,280.0,16.8333333333,119.083333333
20,214.25,16.1666666667,50.75